"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"Study",1,11.4006913991438,11.4006913991438,7.39397129430271,0.006689945670122
"Attractive_condition",1,37.4531963840249,37.4531963840249,24.2904442588596,1.01254748940273e-06
"Dominant_condition",1,9.93371373058781,9.93371373058781,6.4425561221053,0.0113355039929386
"Gender",1,0.174707090430475,0.174707090430475,0.11330709395845,0.736500676676022
"Study:Attractive_condition",1,44.6243045458597,44.6243045458597,28.9412997237245,9.87435475171958e-08
"Study:Dominant_condition",1,1.60139897321052,1.60139897321052,1.03859473290661,0.308464918616881
"Attractive_condition:Dominant_condition",1,0.0209694079800428,0.0209694079800428,0.013599806821769,0.90719266440698
"Study:Gender",1,2.83381236518402,2.83381236518402,1.83788215539141,0.175592258080883
"Attractive_condition:Gender",1,9.78918366862724,9.78918366862724,6.34882047995113,0.0119448653286472
"Dominant_condition:Gender",1,1.71140609321528,1.71140609321528,1.10994036090468,0.292421574781725
"Study:Attractive_condition:Dominant_condition",1,4.36552174628556,4.36552174628556,2.83127938004829,0.0928454080720202
"Study:Attractive_condition:Gender",1,2.45244512994642,2.45244512994642,1.59054466582949,0.207625884365942
"Study:Dominant_condition:Gender",1,0.690067025087434,0.690067025087434,0.447546170316,0.503700750293643
"Attractive_condition:Dominant_condition:Gender",1,0.591353849283509,0.591353849283509,0.383525282221573,0.535903648078024
"Study:Attractive_condition:Dominant_condition:Gender",1,0.110347808170537,0.110347808170537,0.0715665828884248,0.789140157489186
"Residuals",779,1201.13241537416,1.5418901352685,NA,NA
